prb_alloc,DRB.UEThpUl,target_prb_ratio
32,2742.0,66
38,3311.0,66
67,5426.0,66
23,2318.0,66
24,2473.0,66
42,3735.0,66
61,5269.0,66
50,4461.0,66
45,4004.0,66
78,5695.0,66
23,2291.0,66
18,1955.0,66
1,0.0,66
69,5414.0,66
74,5565.0,66
75,5681.0,66
88,5716.0,66
88,5698.0,66
59,5133.0,66
13,1361.0,66
68,5312.0,66
91,5377.0,66
63,5468.0,66
56,4888.0,66
86,5252.0,66
92,5183.0,66
24,2479.0,66
46,4010.0,66
68,5553.0,66
13,1356.0,66
22,2347.0,66
83,5417.0,66
90,5387.0,66
48,4241.0,66
83,5473.0,66
1,0.0,66
97,6054.0,66
9,930.0,66
1,0.0,66
25,2507.0,66
73,5671.0,66
59,5148.0,66
44,3853.0,66
37,3318.0,66
26,2502.0,66
33,2935.0,66
16,1555.0,66
28,2628.0,66
42,3751.0,66
12,1358.0,66
56,5021.0,66
88,5520.0,66
8,929.0,66
85,5276.0,66
25,2473.0,66
20,2081.0,66
29,2660.0,66
15,1355.0,66
80,5622.0,66
26,2495.0,66
68,5579.0,66
28,2644.0,66
35,3191.0,66
74,5300.0,66
18,1948.0,66
70,5564.0,66
21,2076.0,66
52,4705.0,66
50,4435.0,66
39,3505.0,66
54,4849.0,66
9,868.0,66
29,2657.0,66
51,4496.0,66
52,4718.0,66
5,367.0,66
50,4446.0,66
84,5521.0,66
65,5606.0,66
38,3304.0,66
21,2065.0,66
38,3320.0,66
29,2651.0,66
40,3520.0,66
73,5425.0,66
34,2934.0,66
85,5699.0,66
8,918.0,66
81,5584.0,66
46,4003.0,66
87,5539.0,66
7,711.0,66
89,5016.0,66
29,2674.0,66
22,2296.0,66
97,5798.0,66
21,2077.0,66
21,2073.0,66
80,5569.0,66
50,4437.0,66
60,5267.0,66
44,3859.0,66
10,1200.0,66
39,3514.0,66
62,5529.0,66
50,4470.0,66
13,1356.0,66
94,5097.0,66
1,0.0,66
66,5770.0,66
71,5620.0,66
72,5392.0,66
96,5606.0,66
61,5277.0,66
79,5323.0,66
16,1514.0,66
96,5288.0,66
16,1542.0,66
